Unique ID,Date Entered,Year,Model,Model Name,Nickname or Dial,Bracelet,Bracelet Metal/Color,Price,Full Set,Retail Ready,Current Retail (Not Inc Tax),Dealer,Comments
10026,4/1/2025,2024,126710BLNR,GMT2,Batgirl,Jubilee,Oystersteel,15800,Y (inc WT),Y,11000,,
10027,6/9/2025,2025,126710BLNR,GMT2,Batgirl,Jubilee,Oystersteel,15650,Y (inc WT),Y,11000,Khanh Doan (Moda Watch Club),plus shipping label
10028,4/1/2025,2025,126710BLNR,GMT2,Batman,Oyster,Oystersteel,15000,Y (inc WT),Y,10800,,Flipped 14-15K
10029,4/2/2025,2025,126710BLNR,GMT2,Batman,Oyster,Oystersteel,14500,Y (inc WT),Y,10800,AK Timepiece (Moda Watch Club),plus shipping label
10030,4/10/2025,2024,126710BLNR,GMT2,Batman,Oyster,Oystersteel,14300,Y (inc WT),Y,10800,AJ Time Piece,plus shipping label
10031,3/13/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,18200,Y (No WT),Y,11000,Kelvin Parnell (Moda Watch Club),
10032,3/13/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,16500,Y (inc WT),Y,11000,Kamran Akbari (Moda Watch Club),
10033,4/7/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,16200,Y (inc WT),Y,11000,Bingjun Huang (Moda Watch Club),plus shipping label
10034,5/15/2025,2024,126710GRNR,GMT2,Bruce Wayne,Oyster,Oystersteel,16000,Y (inc WT),Y,11000,Mike Mtime (Moda Watch Club),plus shipping label
10035,3/6/2025,2024,126710BLRO,GMT2,Pepsi,Jubilee,Oystersteel,20500,Y (No WT),Y,11000,Benny Cloud (Moda Watch Club),
10036,3/11/2025,2023,126719BLRO,GMT2,Pepsi Meteorite,Oyster,White Gold,49500,Y (inc WT),Y,47500,Thomas Khoa Nguyen (Moda Watch Club),
10037,3/11/2025,2024,126719BLRO,GMT2,Pepsi Meteorite,Oyster,White Gold,49500,Y (inc WT),Y,47500,Randy Chong (Moda Watch Club),
10038,3/6/2025,2019,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,15500,Y (inc WT),Y,17500,AJ Time Piece,
10039,3/6/2025,2024, 126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,17000,Y (No WT),Y,17500,Benny Cloud (Moda Watch Club),
10040,3/12/2025,2023,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,15750,Y (inc WT),Y - Hairlines,17500,East Coast TimePiece (Moda Watch Club),
10041,3/12/2025,2024,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,16700,Y (inc WT),Y - Hairlines,17500,East Coast TimePiece (Moda Watch Club),
10042,4/14/2025,2025,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,16500,Y (inc WT),Y,17500,Khanh Doan (Moda Watch Club),Add 250 for Box
10043,6/10/2025,2023,126715CHNR,GMT2,Root Beer,Oyster,Rose Gold,34000,Y (inc WT),Y,46500,Ziv Moyal (Moda Watch Club),plus shipping label
10044,6/13/2025,2023,126715CHNR,GMT2,Root Beer,Oyster,Rose Gold,33000,Y (inc WT),Y,46500,John Sig (Moda Watch Club),Add 300 for Box plus Shipping
10045,3/13/2025,2025,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,19300,Y (inc WT),Y,17850,Gerald Tan (Moda Watch Club),
10046,3/16/2025,2024,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,18700,Y (inc WT),Y,17850,AJ Time Piece,
10047,3/24/2025,2024,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,16500,Y (inc WT),Y,17850,AJ Time Piece,"Bumblebee, Guiness"
10048,6/17/2025,2025,126710BLNR,GMT2,Batman,Oyster,Oystersteel,14999,Y (inc WT),Y,11100,Cici Watches (Rolex Group),
10049,4/3/2025,2020,126503,Seadweller,Black,Oyster,Oystersteel and Gold,15200,Y (inc WT),Y,19650,Mecko Kay (Moda Watch Club),plus shipping label
10050,4/8/2025,2024,126603,Seadweller,Black,Oyster,Oystersteel and Gold,16000,Y (inc WT),Y,19650,Randy Chong (Moda Watch Club),plus shipping label
